year,人均GDP增长率,个人卫生支出占比,CPI,医保
2013,0.093666376,0.33879697515042,102.62401527,0.0662827134239
2014,0.078514286,0.31987089941901,101.98842742,0.06859560763737
2015,0.064176034,0.29268466443334,101.44082395,0.06878997434402
2016,0.077333548,0.2877965382486,102.00284829,0.07378239568207
2017,0.108012829,0.28772038845425,101.5577222,0.078453272299
2018,0.099702419,0.28605283557314,102.10452852,0.08480193489968
2019,0.069337549,0.28361901229607,102.90428294,0.08825232524528
2020,0.0249788,0.27654215448563,102.5,0.0847777284648
2021,0.132842441,0.2759538390206,100.9,0.1156132656325
2022,0.053190776,0.2688575510659,102.0,0.0923029293402
